Tipo_pan ,Bread1.1 ,Bread1.2 ,Bread2.1 ,Bread2.2 ,Bread3.1 ,Bread3.2 ,Bread4.1 ,Bread4.2 ,Bread5.1 ,Bread5.2 
Bread1.1 ,0,3.3166,6.8557,6.7823,5.2915,7.6158,6.7082,6.3246,6.4031,6.1644
Bread1.2 ,3.3166,0,8.2462,8.775,7.4162,8.3066,8,7.8102,8,7.4162
Bread2.1 ,6.8557,8.2462,0,3.873,4.7958,3,5.099,4.7958,5.099,5.5678
Bread2.2 ,6.7823,8.775,3.873,0,4.899,4,6.5574,6.4807,5.3852,4.6904
Bread3.1 ,5.2915,7.4162,4.7958,4.899,0,6.1644,3.6056,2.8284,3.3166,3.4641
Bread3.2 ,7.6158,8.3066,3,4,6.1644,0,6.0828,6.3246,5.5678,5.2915
Bread4.1 ,6.7082,8,5.099,6.5574,3.6056,6.0828,0,1.7321,2,5
Bread4.2 ,6.3246,7.8102,4.7958,6.4807,2.8284,6.3246,1.7321,0,3,4.899
Bread5.1 ,6.4031,8,5.099,5.3852,3.3166,5.5678,2,3,0,3.873
Bread5.2 ,6.1644,7.4162,5.5678,4.6904,3.4641,5.2915,5,4.899,3.873,0
Bread1.1 ,0,3.1623,9.798,10.4403,9.4868,6.245,9.5394,8,8.8882,10.3441
Bread1.2 ,3.1623,0,8.8318,9.6437,8.6023,5.7446,9,7.746,8.4261,9.9499
Bread2.1 ,9.798,8.8318,0,3.6056,5.831,6.4031,8.0623,7.4833,6.8557,7
Bread2.2 ,10.4403,9.6437,3.6056,0,6.5574,7.4833,9.1652,8.8882,6.7823,6.1644
Bread3.1 ,9.4868,8.6023,5.831,6.5574,0,5.3852,6.8557,7.0711,3.873,4.7958
Bread3.2 ,6.245,5.7446,6.4031,7.4833,5.3852,0,8.2462,7.1414,6.6332,7.0711
Bread4.1 ,9.5394,9,8.0623,9.1652,6.8557,8.2462,0,3,4.6904,6.1644
Bread4.2 ,8,7.746,7.4833,8.8882,7.0711,7.1414,3,0,5.3852,7
Bread5.1 ,8.8882,8.4261,6.8557,6.7823,3.873,6.6332,4.6904,5.3852,0,2.8284
Bread5.2 ,10.3441,9.9499,7,6.1644,4.7958,7.0711,6.1644,7,2.8284,0
Bread1.1 ,0,4.899,6,6.4031,8,6.4807,8.0623,9.5917,6.4031,8
Bread1.2 ,4.899,0,7.3485,6.8557,8.2462,7.3485,7.9373,10.0995,6.7082,8.124
Bread2.1 ,6,7.3485,0,2.2361,4.2426,4,5.7446,7.0711,4.5826,5.6569
Bread2.2 ,6.4031,6.8557,2.2361,0,3.873,3,4.6904,6.245,4.2426,5
Bread3.1 ,8,8.2462,4.2426,3.873,0,4.4721,5,7.2111,5.1962,6.4807
Bread3.2 ,6.4807,7.3485,4,3,4.4721,0,2.6458,4,3.3166,3.4641
Bread4.1 ,8.0623,7.9373,5.7446,4.6904,5,2.6458,0,3.6056,4,3.3166
Bread4.2 ,9.5917,10.0995,7.0711,6.245,7.2111,4,3.6056,0,6.0828,3.7417
Bread5.1 ,6.4031,6.7082,4.5826,4.2426,5.1962,3.3166,4,6.0828,0,3.3166
Bread5.2 ,8,8.124,5.6569,5,6.4807,3.4641,3.3166,3.7417,3.3166,0
Bread1.1 ,0,3.1623,9.434,7.6158,7.9373,8.124,9.4868,8.2462,9.6437,8.3066
Bread1.2 ,3.1623,0,8.4261,6,7,6.3246,8.9443,7.746,7.9373,7
Bread2.1 ,9.434,8.4261,0,4.7958,3.1623,4.5826,5.1962,4.5826,4.899,3.4641
Bread2.2 ,7.6158,6,4.7958,0,3.3166,3.1623,7.3485,5.831,6.0828,4.3589
Bread3.1 ,7.9373,7,3.1623,3.3166,0,4.1231,5.7446,4.1231,6,3.1623
Bread3.2 ,8.124,6.3246,4.5826,3.1623,4.1231,0,6.1644,5.4772,5.1962,3
Bread4.1 ,9.4868,8.9443,5.1962,7.3485,5.7446,6.1644,0,2.8284,5.1962,5.3852
Bread4.2 ,8.2462,7.746,4.5826,5.831,4.1231,5.4772,2.8284,0,5.3852,4.7958
Bread5.1 ,9.6437,7.9373,4.899,6.0828,6,5.1962,5.1962,5.3852,0,4.899
Bread5.2 ,8.3066,7,3.4641,4.3589,3.1623,3,5.3852,4.7958,4.899,0
Bread1.1 ,0,3,8.0623,6.6332,7.3485,5.9161,9.7468,8,8,7.4833
Bread1.2 ,3,0,8.124,6.0828,7.4162,5.831,9.4868,7.6811,7.2801,6.8557
Bread2.1 ,8.0623,8.124,0,3.3166,2.2361,3.7417,5.099,6.4031,4.5826,4.7958
Bread2.2 ,6.6332,6.0828,3.3166,0,3.7417,2.6458,5.9161,6.3246,3.7417,3.4641
Bread3.1 ,7.3485,7.4162,2.2361,3.7417,0,3,5.1962,5.4772,4.4721,4.4721
Bread3.2 ,5.9161,5.831,3.7417,2.6458,3,0,6.3246,6.4031,4.5826,3.873
Bread4.1 ,9.7468,9.4868,5.099,5.9161,5.1962,6.3246,0,5.3852,6.8557,5.7446
Bread4.2 ,8,7.6811,6.4031,6.3246,5.4772,6.4031,5.3852,0,6.3246,5.6569
Bread5.1 ,8,7.2801,4.5826,3.7417,4.4721,4.5826,6.8557,6.3246,0,2.4495
Bread5.2 ,7.4833,6.8557,4.7958,3.4641,4.4721,3.873,5.7446,5.6569,2.4495,0
Bread1.1 ,0,3.6056,5.6569,8.1854,7,7,8.7178,8.8882,7.3485,9.1652
Bread1.2 ,3.6056,0,6.245,8.7178,8.7178,8.2462,9,9.0554,8.1854,9.5394
Bread2.1 ,5.6569,6.245,0,6.245,6.7082,7.2801,6.7823,6.5574,4.6904,5.6569
Bread2.2 ,8.1854,8.7178,6.245,0,6.1644,5.2915,6.8557,5.2915,5.9161,6.8557
Bread3.1 ,7,8.7178,6.7082,6.1644,0,2.8284,5.1962,4.899,5.7446,6.0828
Bread3.2 ,7,8.2462,7.2801,5.2915,2.8284,0,6.245,5.099,6.7082,7.5498
Bread4.1 ,8.7178,9,6.7823,6.8557,5.1962,6.245,0,3.873,5.6569,4
Bread4.2 ,8.8882,9.0554,6.5574,5.2915,4.899,5.099,3.873,0,5.3852,4.3589
Bread5.1 ,7.3485,8.1854,4.6904,5.9161,5.7446,6.7082,5.6569,5.3852,0,3.4641
Bread5.2 ,9.1652,9.5394,5.6569,6.8557,6.0828,7.5498,4,4.3589,3.4641,0
Bread1.1 ,0,6,9.3808,8.3066,6.6332,10.0995,9.3274,8.8882,7.6158,9
Bread1.2 ,6,0,9.1652,8.544,7.6158,9.6954,10.9087,11,7.4833,8.3066
Bread2.1 ,9.3808,9.1652,0,4.5826,5.2915,3.4641,9.3274,9.9499,5.831,6.5574
Bread2.2 ,8.3066,8.544,4.5826,0,2.6458,4.1231,6.1644,7.3485,4.1231,5.2915
Bread3.1 ,6.6332,7.6158,5.2915,2.6458,0,5.6569,5.3852,7,3.1623,4.5826
Bread3.2 ,10.0995,9.6954,3.4641,4.1231,5.6569,0,9.2195,9.3274,5.6569,6.4031
Bread4.1 ,9.3274,10.9087,9.3274,6.1644,5.3852,9.2195,0,4.6904,6.8557,6.4807
Bread4.2 ,8.8882,11,9.9499,7.3485,7,9.3274,4.6904,0,8.544,7.0711
Bread5.1 ,7.6158,7.4833,5.831,4.1231,3.1623,5.6569,6.8557,8.544,0,5.1962
Bread5.2 ,9,8.3066,6.5574,5.2915,4.5826,6.4031,6.4807,7.0711,5.1962,0
Bread1.1 ,0,3.4641,10.7703,11.9583,9.5394,11.1803,11.4891,12.3693,11.0454,10.7703
Bread1.2 ,3.4641,0,10.6771,11,9.5394,10.1489,10.9545,11.4455,10.9545,10.6771
Bread2.1 ,10.7703,10.6771,0,4.1231,7.1414,6.4031,9.1652,9.6437,6.9282,8.2462
Bread2.2 ,11.9583,11,4.1231,0,7.746,5.099,7.9373,8.2462,6.8557,7.8102
Bread3.1 ,9.5394,9.5394,7.1414,7.746,0,5.4772,6.7082,6.7823,5.9161,4.7958
Bread3.2 ,11.1803,10.1489,6.4031,5.099,5.4772,0,4.3589,4.2426,3.873,4.3589
Bread4.1 ,11.4891,10.9545,9.1652,7.9373,6.7082,4.3589,0,3,4,3.1623
Bread4.2 ,12.3693,11.4455,9.6437,8.2462,6.7823,4.2426,3,0,4.3589,4.1231
